1000,abnormal,not conforming to rule or system
1001,abominable,"very hateful, detestable"
1002,aboriginal,original or indigenous to a place
1003,abortive,unsuccessful
1004,aboveboard,"in open sight, without concealment, or deception"
1005,abrasive,rough enough to wear away the outer surface
1006,absolute,"free from imperfection, complete"
1007,abstemious,restraint especially in the consumption of food or alcohol
1008,abstruse,difficult to comprehend
1009,abundant,"fully sufficient, in great quantity"
1010,abusive,treating badly or injuriously
1011,abysmal,"extremely hopeless, bad, or severe"
1012,accessory,"aiding in a secondary way, being additional,"
1013,acerbic,"acid in temper, mood or tone"
1014,acetic,"of, pertaining to, or producing vinegar"
1015,achillean,invincible
1016,achromatic,without colour
1017,acidulous,"slightly sour, sub-acid"
1018,acoustic,designed to carry sound or to aid in hearing
1019,acquisitive,acquired
1020,acrid,"sharp and harsh, or bitter and not to the taste, pungent"
1021,acrimonious,"of or pertaining to words, arguments, quarrels"
1022,actionable,affording grounds for legal action
1023,actuarial,of or pertaining to actuaries
1024,acute,sharp
1025,ad hoc,specifically for
1026,ad infinitum,to infinity
1027,adamant,"resistant to reason, determined, inflexible"
1028,adept,"well skilled, completely versed, thoroughly proficient"
1029,adjacent,"close, or contiguous, neighboring, bordering on"
1030,adjutant,a military officer
1031,admissible,"accepted or allowed, acceptable"
1032,adroit,dexterous
1033,adventitious,"from an external source, not innate or inherent"
1034,adverse,"unfavorable, antagonistic in purpose or effect, hostile"
1035,advisory,able to give advice
1036,aerial,"of, in, or from the air, atmospheric"
1037,aesthetic,having a sense of beauty
1038,affable,"pleasant, easy to approach"
1039,affirmative,"pertaining to truth, asserting that something is true"
1040,affluent,"having lots of wealth, property or other material goods"
1041,afire,on fire
1042,afoot,on foot
1043,aforesaid,a previously stated statement
1044,afresh,anew
1045,aghast,"terrified, struck with amazement"
1046,agile,"active, quick and coordinated"
1047,agnostic,the doubt of a higher power/being
1048,agog,"in eager desire, eager, astir"
1049,agrarian,"of, or relating to, the ownership and cultivation of land"
1050,akin,"related by blood, similar"
1051,albeit,"although, even if"
1052,albino,"a person, plant or animal with a deficiency in pigmentation"
1053,aloof,"reserved and remote, physically or emotionally distant"
1054,alternative,relating to a choice between two or more possibilities
1055,amateur,non-professional
