1000,abash,to make ashamed
1001,abate,to put an end to
1002,abbreviate,to make shorter
1003,abdicate,"to surrender, renounce or relinquish"
1004,abduct,to take away secretly by force
1005,abed,in bed
1006,aberrant,straying from the right or normal way
1007,abet,"to assist or encourage by aid, especially in crime"
1008,abhor,to loath
1009,abide,to wait for
1010,abject,"to cast off or down, to abase"
1011,abjure,to renounce upon oath
1012,abnegate,to deny (oneself something)
1013,abort,"to miscarry, to bring forth something prematurely"
1014,abound,"to be plentiful, to be very prevalent, to overflow"
1015,abrade,to rub or wear away
1016,abridge,to shorten in duration
1017,abrogate,to abolish by authoritative action
1018,abscess,to form such a collection of pus
1019,abscond,to depart secretly
1020,absolve,to set free from an obligation
1021,abstain,refrain from (something)
1022,abstract,"to separate, to remove, to take away"
1023,abut,"to touch by means of a mutual border, to meet"
1024,accede,"(obsolete) to approach, to arrive, to come forward"
1025,accentuate,to pronounce with an accent or vocal stress
1026,access,to gain or obtain access to
1027,accession,to make a record of (additions to a collection)
1028,acclaim,applaud
1029,acclimate,to habituate to a climate not native
1030,accolade,to embrace or kiss in salutation
1031,accommodate,"to adapt, as, to accommodate ourselves to circumstances"
1032,accompany,to perform an accompanying part or parts in a composition
1033,accomplish,to finish successfully
1034,accord,"to make to agree or correspond, to suit one thing to another"
1035,accordion,"to fold up, in the manner of an accordion"
1036,accost,to approach and speak to boldly or aggressively
1037,account,"to compute, to count"
1038,accouter,to furnish with dress or equipments
1039,accredit,"to put or bring into credit, to invest with credit"
1040,accrue,"to happen or result as a natural growth, addition"
1041,accumulate,"to heap up in a mass, to collect"
1042,accurse,to devote to destruction
1043,accuse,"to find fault with, to blame"
1044,accustom,"to make familiar by use, to cause to accept"
1045,acknowledge,"to admit the knowledge of, to recognize as a fact or truth"
1046,acquaint,to make familiar
1047,acquiesce,to rest satisfied
1048,acquire,to get
1049,acquit,"to declare or find not guilty, innocent"
1050,adapt,"to make suitable, to make to correspond, to fit or suit"
1051,addle,to make or become confused
1052,adduce,to cite (as proof)
1053,adhere,"to stick fast or cleave, to become joined or united"
1054,adjourn,to postpone
1055,adjudge,to declare to be
1056,adjudicate,to settle a legal case or other dispute
1057,admonish,"to warn of a fault, to reprove gently, but seriously"
1058,adorn,to decorate
1059,adulterate,"to make impure by adding improper, or inferior ingredients"
